uid treatment rep update task count partner
MOI0.0_1 MOI0.0 1 0 NOT 0 Host
MOI0.0_1 MOI0.0 1 0 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 0 NAND 0 Host
MOI0.0_1 MOI0.0 1 0 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 0 AND 0 Host
MOI0.0_1 MOI0.0 1 0 AND 0 Parasite
MOI0.0_1 MOI0.0 1 0 ORN 0 Host
MOI0.0_1 MOI0.0 1 0 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 0 OR 0 Host
MOI0.0_1 MOI0.0 1 0 OR 0 Parasite
MOI0.0_1 MOI0.0 1 0 ANDN 0 Host
MOI0.0_1 MOI0.0 1 0 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 0 NOR 0 Host
MOI0.0_1 MOI0.0 1 0 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 0 XOR 0 Host
MOI0.0_1 MOI0.0 1 0 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 0 EQU 0 Host
MOI0.0_1 MOI0.0 1 0 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 100 NOT 39022 Host
MOI0.0_1 MOI0.0 1 100 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 100 NAND 0 Host
MOI0.0_1 MOI0.0 1 100 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 100 AND 0 Host
MOI0.0_1 MOI0.0 1 100 AND 0 Parasite
MOI0.0_1 MOI0.0 1 100 ORN 0 Host
MOI0.0_1 MOI0.0 1 100 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 100 OR 0 Host
MOI0.0_1 MOI0.0 1 100 OR 0 Parasite
MOI0.0_1 MOI0.0 1 100 ANDN 0 Host
MOI0.0_1 MOI0.0 1 100 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 100 NOR 0 Host
MOI0.0_1 MOI0.0 1 100 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 100 XOR 0 Host
MOI0.0_1 MOI0.0 1 100 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 100 EQU 0 Host
MOI0.0_1 MOI0.0 1 100 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 200 NOT 35442 Host
MOI0.0_1 MOI0.0 1 200 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 200 NAND 0 Host
MOI0.0_1 MOI0.0 1 200 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 200 AND 0 Host
MOI0.0_1 MOI0.0 1 200 AND 0 Parasite
MOI0.0_1 MOI0.0 1 200 ORN 0 Host
MOI0.0_1 MOI0.0 1 200 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 200 OR 0 Host
MOI0.0_1 MOI0.0 1 200 OR 0 Parasite
MOI0.0_1 MOI0.0 1 200 ANDN 0 Host
MOI0.0_1 MOI0.0 1 200 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 200 NOR 0 Host
MOI0.0_1 MOI0.0 1 200 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 200 XOR 0 Host
MOI0.0_1 MOI0.0 1 200 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 200 EQU 0 Host
MOI0.0_1 MOI0.0 1 200 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 300 NOT 33763 Host
MOI0.0_1 MOI0.0 1 300 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 300 NAND 0 Host
MOI0.0_1 MOI0.0 1 300 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 300 AND 0 Host
MOI0.0_1 MOI0.0 1 300 AND 0 Parasite
MOI0.0_1 MOI0.0 1 300 ORN 0 Host
MOI0.0_1 MOI0.0 1 300 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 300 OR 0 Host
MOI0.0_1 MOI0.0 1 300 OR 0 Parasite
MOI0.0_1 MOI0.0 1 300 ANDN 1 Host
MOI0.0_1 MOI0.0 1 300 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 300 NOR 0 Host
MOI0.0_1 MOI0.0 1 300 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 300 XOR 0 Host
MOI0.0_1 MOI0.0 1 300 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 300 EQU 0 Host
MOI0.0_1 MOI0.0 1 300 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 400 NOT 33902 Host
MOI0.0_1 MOI0.0 1 400 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 400 NAND 0 Host
MOI0.0_1 MOI0.0 1 400 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 400 AND 0 Host
MOI0.0_1 MOI0.0 1 400 AND 0 Parasite
MOI0.0_1 MOI0.0 1 400 ORN 1 Host
MOI0.0_1 MOI0.0 1 400 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 400 OR 1 Host
MOI0.0_1 MOI0.0 1 400 OR 0 Parasite
MOI0.0_1 MOI0.0 1 400 ANDN 1 Host
MOI0.0_1 MOI0.0 1 400 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 400 NOR 0 Host
MOI0.0_1 MOI0.0 1 400 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 400 XOR 0 Host
MOI0.0_1 MOI0.0 1 400 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 400 EQU 0 Host
MOI0.0_1 MOI0.0 1 400 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 500 NOT 43592 Host
MOI0.0_1 MOI0.0 1 500 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 500 NAND 25 Host
MOI0.0_1 MOI0.0 1 500 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 500 AND 1 Host
MOI0.0_1 MOI0.0 1 500 AND 0 Parasite
MOI0.0_1 MOI0.0 1 500 ORN 2 Host
MOI0.0_1 MOI0.0 1 500 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 500 OR 0 Host
MOI0.0_1 MOI0.0 1 500 OR 0 Parasite
MOI0.0_1 MOI0.0 1 500 ANDN 1 Host
MOI0.0_1 MOI0.0 1 500 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 500 NOR 0 Host
MOI0.0_1 MOI0.0 1 500 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 500 XOR 0 Host
MOI0.0_1 MOI0.0 1 500 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 500 EQU 0 Host
MOI0.0_1 MOI0.0 1 500 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 600 NOT 99598 Host
MOI0.0_1 MOI0.0 1 600 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 600 NAND 518 Host
MOI0.0_1 MOI0.0 1 600 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 600 AND 4 Host
MOI0.0_1 MOI0.0 1 600 AND 0 Parasite
MOI0.0_1 MOI0.0 1 600 ORN 7 Host
MOI0.0_1 MOI0.0 1 600 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 600 OR 2 Host
MOI0.0_1 MOI0.0 1 600 OR 0 Parasite
MOI0.0_1 MOI0.0 1 600 ANDN 1 Host
MOI0.0_1 MOI0.0 1 600 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 600 NOR 0 Host
MOI0.0_1 MOI0.0 1 600 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 600 XOR 0 Host
MOI0.0_1 MOI0.0 1 600 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 600 EQU 0 Host
MOI0.0_1 MOI0.0 1 600 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 700 NOT 170463 Host
MOI0.0_1 MOI0.0 1 700 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 700 NAND 3041 Host
MOI0.0_1 MOI0.0 1 700 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 700 AND 3 Host
MOI0.0_1 MOI0.0 1 700 AND 0 Parasite
MOI0.0_1 MOI0.0 1 700 ORN 2 Host
MOI0.0_1 MOI0.0 1 700 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 700 OR 1 Host
MOI0.0_1 MOI0.0 1 700 OR 0 Parasite
MOI0.0_1 MOI0.0 1 700 ANDN 0 Host
MOI0.0_1 MOI0.0 1 700 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 700 NOR 1 Host
MOI0.0_1 MOI0.0 1 700 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 700 XOR 0 Host
MOI0.0_1 MOI0.0 1 700 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 700 EQU 0 Host
MOI0.0_1 MOI0.0 1 700 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 800 NOT 216975 Host
MOI0.0_1 MOI0.0 1 800 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 800 NAND 14914 Host
MOI0.0_1 MOI0.0 1 800 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 800 AND 0 Host
MOI0.0_1 MOI0.0 1 800 AND 0 Parasite
MOI0.0_1 MOI0.0 1 800 ORN 7 Host
MOI0.0_1 MOI0.0 1 800 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 800 OR 3 Host
MOI0.0_1 MOI0.0 1 800 OR 0 Parasite
MOI0.0_1 MOI0.0 1 800 ANDN 1 Host
MOI0.0_1 MOI0.0 1 800 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 800 NOR 0 Host
MOI0.0_1 MOI0.0 1 800 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 800 XOR 0 Host
MOI0.0_1 MOI0.0 1 800 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 800 EQU 0 Host
MOI0.0_1 MOI0.0 1 800 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 900 NOT 246285 Host
MOI0.0_1 MOI0.0 1 900 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 900 NAND 31032 Host
MOI0.0_1 MOI0.0 1 900 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 900 AND 1 Host
MOI0.0_1 MOI0.0 1 900 AND 0 Parasite
MOI0.0_1 MOI0.0 1 900 ORN 13 Host
MOI0.0_1 MOI0.0 1 900 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 900 OR 1 Host
MOI0.0_1 MOI0.0 1 900 OR 0 Parasite
MOI0.0_1 MOI0.0 1 900 ANDN 0 Host
MOI0.0_1 MOI0.0 1 900 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 900 NOR 0 Host
MOI0.0_1 MOI0.0 1 900 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 900 XOR 0 Host
MOI0.0_1 MOI0.0 1 900 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 900 EQU 0 Host
MOI0.0_1 MOI0.0 1 900 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1000 NOT 260711 Host
MOI0.0_1 MOI0.0 1 1000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1000 NAND 41925 Host
MOI0.0_1 MOI0.0 1 1000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1000 AND 2 Host
MOI0.0_1 MOI0.0 1 1000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1000 ORN 9 Host
MOI0.0_1 MOI0.0 1 1000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1000 OR 2 Host
MOI0.0_1 MOI0.0 1 1000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 1000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1000 NOR 0 Host
MOI0.0_1 MOI0.0 1 1000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1000 XOR 0 Host
MOI0.0_1 MOI0.0 1 1000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1000 EQU 0 Host
MOI0.0_1 MOI0.0 1 1000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1100 NOT 279033 Host
MOI0.0_1 MOI0.0 1 1100 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1100 NAND 36442 Host
MOI0.0_1 MOI0.0 1 1100 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1100 AND 1 Host
MOI0.0_1 MOI0.0 1 1100 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1100 ORN 14 Host
MOI0.0_1 MOI0.0 1 1100 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1100 OR 3 Host
MOI0.0_1 MOI0.0 1 1100 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1100 ANDN 2 Host
MOI0.0_1 MOI0.0 1 1100 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1100 NOR 0 Host
MOI0.0_1 MOI0.0 1 1100 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1100 XOR 0 Host
MOI0.0_1 MOI0.0 1 1100 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1100 EQU 0 Host
MOI0.0_1 MOI0.0 1 1100 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1200 NOT 302940 Host
MOI0.0_1 MOI0.0 1 1200 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1200 NAND 24424 Host
MOI0.0_1 MOI0.0 1 1200 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1200 AND 1 Host
MOI0.0_1 MOI0.0 1 1200 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1200 ORN 19 Host
MOI0.0_1 MOI0.0 1 1200 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1200 OR 1 Host
MOI0.0_1 MOI0.0 1 1200 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1200 ANDN 0 Host
MOI0.0_1 MOI0.0 1 1200 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1200 NOR 0 Host
MOI0.0_1 MOI0.0 1 1200 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1200 XOR 0 Host
MOI0.0_1 MOI0.0 1 1200 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1200 EQU 0 Host
MOI0.0_1 MOI0.0 1 1200 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1300 NOT 320635 Host
MOI0.0_1 MOI0.0 1 1300 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1300 NAND 13923 Host
MOI0.0_1 MOI0.0 1 1300 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1300 AND 0 Host
MOI0.0_1 MOI0.0 1 1300 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1300 ORN 55 Host
MOI0.0_1 MOI0.0 1 1300 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1300 OR 6 Host
MOI0.0_1 MOI0.0 1 1300 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1300 ANDN 0 Host
MOI0.0_1 MOI0.0 1 1300 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1300 NOR 0 Host
MOI0.0_1 MOI0.0 1 1300 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1300 XOR 0 Host
MOI0.0_1 MOI0.0 1 1300 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1300 EQU 0 Host
MOI0.0_1 MOI0.0 1 1300 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1400 NOT 337276 Host
MOI0.0_1 MOI0.0 1 1400 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1400 NAND 6899 Host
MOI0.0_1 MOI0.0 1 1400 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1400 AND 34 Host
MOI0.0_1 MOI0.0 1 1400 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1400 ORN 92 Host
MOI0.0_1 MOI0.0 1 1400 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1400 OR 8 Host
MOI0.0_1 MOI0.0 1 1400 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1400 ANDN 0 Host
MOI0.0_1 MOI0.0 1 1400 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1400 NOR 0 Host
MOI0.0_1 MOI0.0 1 1400 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1400 XOR 0 Host
MOI0.0_1 MOI0.0 1 1400 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1400 EQU 0 Host
MOI0.0_1 MOI0.0 1 1400 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1500 NOT 351551 Host
MOI0.0_1 MOI0.0 1 1500 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1500 NAND 2301 Host
MOI0.0_1 MOI0.0 1 1500 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1500 AND 10 Host
MOI0.0_1 MOI0.0 1 1500 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1500 ORN 287 Host
MOI0.0_1 MOI0.0 1 1500 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1500 OR 3 Host
MOI0.0_1 MOI0.0 1 1500 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1500 ANDN 0 Host
MOI0.0_1 MOI0.0 1 1500 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1500 NOR 1 Host
MOI0.0_1 MOI0.0 1 1500 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1500 XOR 0 Host
MOI0.0_1 MOI0.0 1 1500 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1500 EQU 0 Host
MOI0.0_1 MOI0.0 1 1500 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1600 NOT 371206 Host
MOI0.0_1 MOI0.0 1 1600 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1600 NAND 1538 Host
MOI0.0_1 MOI0.0 1 1600 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1600 AND 12 Host
MOI0.0_1 MOI0.0 1 1600 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1600 ORN 240 Host
MOI0.0_1 MOI0.0 1 1600 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1600 OR 5 Host
MOI0.0_1 MOI0.0 1 1600 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1600 ANDN 0 Host
MOI0.0_1 MOI0.0 1 1600 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1600 NOR 0 Host
MOI0.0_1 MOI0.0 1 1600 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1600 XOR 0 Host
MOI0.0_1 MOI0.0 1 1600 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1600 EQU 0 Host
MOI0.0_1 MOI0.0 1 1600 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1700 NOT 389967 Host
MOI0.0_1 MOI0.0 1 1700 NOT 0 Parasite
